        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	







  1.0000e+00	  6.9991e+00	  1.1159e+01	  3.5658e-11	  3.8259e-01	  3.8259e+00	  3.8259e+00	  4.1965e-18	
  4.0000e+00	  6.9990e+00	  1.1213e+01	  5.8466e-11	  2.8356e-01	  2.8356e+00	  2.8356e+00	  1.0055e-17	
  6.0000e+00	  6.9990e+00	  1.1234e+01	  7.1285e-11	  2.4023e-01	  2.4023e+00	  2.4023e+00	 -5.4133e-18	
  8.0000e+00	  6.9990e+00	  1.1205e+01	  5.4613e-11	  2.6271e-01	  2.6271e+00	  2.6271e+00	 -2.1603e-18	
  2.0000e+00	  6.9979e+00	  1.1151e+01	  3.2679e-11	  6.3649e-02	  6.3649e-01	  6.3649e-01	  6.3395e-21	
  5.0000e+00	  6.9979e+00	  1.1213e+01	  5.8014e-11	  4.7270e-02	  4.7270e-01	  4.7270e-01	 -5.1081e-19	










  1.0000e+00	  6.9980e+00	 -3.3801e+00	  0.0000e+00	  2.5457e-01	  2.5457e+00	  2.5457e+00	 -3.3264e-18	
  4.0000e+00	  6.9978e+00	 -2.4389e+00	  0.0000e+00	  1.8363e-01	  1.8363e+00	  1.8363e+00	  7.4498e-19	
  6.0000e+00	  6.9977e+00	  1.1490e+01	  7.4233e-10	  1.5309e-01	  1.5309e+00	  1.5309e+00	  9.5921e-19	
  8.0000e+00	  6.9977e+00	 -2.3780e+00	  0.0000e+00	  1.6864e-01	  1.6864e+00	  1.6864e+00	 -1.4537e-18	
  2.0000e+00	  6.9974e+00	  1.1273e+01	  1.0080e-10	  2.6726e-02	  2.6726e-01	  2.6726e-01	 -7.4696e-19	
  5.0000e+00	  6.9974e+00	  1.1352e+01	  2.0850e-10	  1.9058e-02	  1.9058e-01	  1.9058e-01	 -4.9260e-19	
