         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	          Na	          Cl	           K	          Ca	
           2	      i_soln	           1	         -99	         -99	         -99	      6.9969	       13.63	  1.0000e-03	  0.0000e+00	  2.0000e-04	  0.0000e+00	
           2	      i_exch	           1	         -99	         -99	         -99	      6.9969	       13.63	  1.0000e-03	  0.0000e+00	  2.0000e-04	  0.0000e+00	
           2	       react	           1	         -99	           0	           1	      6.9969	       13.63	  1.0000e-03	  0.0000e+00	  2.0000e-04	  0.0000e+00	
           1	      transp	           8	       0.075	           0	           0	      6.9969	       13.63	  1.0000e-03	  0.0000e+00	  2.0000e-04	  0.0000e+00	
           1	      transp	           8	       0.075	           0	           1	      6.9969	       13.63	  1.0000e-03	  0.0000e+00	  2.0000e-04	  0.0000e+00	
           1	      transp	           8	       0.075	           0	           2	      6.9969	       13.63	  1.0000e-03	  0.0000e+00	  2.0000e-04	  0.0000e+00	
           1	      transp	           8	       0.075	           0	           3	      6.9969	       13.63	  1.0000e-03	  0.0000e+00	  2.0000e-04	  0.0000e+00	
           1	      transp	           8	       0.075	           0	           4	      6.9969	       13.63	  1.0000e-03	  1.9200e-06	  2.0000e-04	  5.9316e-28	
           1	      transp	           8	       0.075	           0	           5	      6.9969	       13.63	  9.9996e-04	  4.7232e-05	  2.0004e-04	  9.6885e-26	
           1	      transp	           8	       0.075	           0	           6	      6.9969	       13.63	  9.9952e-04	  2.2195e-04	  2.0048e-04	  9.6270e-23	
           1	      transp	           8	       0.075	           0	           7	      6.9969	       13.63	  9.9687e-04	  5.0809e-04	  2.0313e-04	  3.1874e-20	
           1	      transp	           8	       0.075	           0	           8	      6.9969	       13.63	  9.8596e-04	  7.8967e-04	  2.1404e-04	  1.1397e-17	
           1	      transp	           8	       0.075	           0	           9	      6.9969	       13.63	  9.5116e-04	  9.8991e-04	  2.4884e-04	  4.8224e-15	
           1	      transp	           8	       0.075	           0	          10	      6.9969	       13.63	  8.6249e-04	  1.1044e-03	  3.3751e-04	  9.8807e-13	
           1	      transp	           8	       0.075	           0	          11	      6.9969	       13.63	  6.9186e-04	  1.1604e-03	  5.0814e-04	  2.5848e-10	
           1	      transp	           8	       0.075	           0	          12	      6.9969	       13.63	  4.6844e-04	  1.1848e-03	  7.3149e-04	  3.8733e-08	
           1	      transp	           8	       0.075	           0	          13	      6.9969	       13.63	  2.6783e-04	  1.1945e-03	  9.2846e-04	  1.8537e-06	
           1	      transp	           8	       0.075	           0	          14	     6.99656	     13.6303	  1.1784e-04	  1.1981e-03	  8.7950e-04	  1.0133e-04	
           1	      transp	           8	       0.075	           0	          15	     6.99555	     13.6313	  3.6883e-05	  1.1994e-03	  3.5234e-04	  4.0539e-04	
           1	      transp	           8	       0.075	           0	          16	     6.99514	     13.6318	  1.1145e-05	  1.1998e-03	  1.2605e-04	  5.3140e-04	
           1	      transp	           8	       0.075	           0	          17	     6.99499	     13.6319	  3.3660e-06	  1.1999e-03	  4.6523e-05	  5.7506e-04	
           1	      transp	           8	       0.075	           0	          18	     6.99494	      13.632	  1.0170e-06	  1.2000e-03	  1.7593e-05	  5.9069e-04	
           1	      transp	           8	       0.075	           0	          19	     6.99493	      13.632	  3.0712e-07	  1.2000e-03	  6.7608e-06	  5.9647e-04	
           1	      transp	           8	       0.075	           0	          20	     6.99492	      13.632	  9.2639e-08	  1.2000e-03	  2.6265e-06	  5.9864e-04	
           1	      transp	           8	       0.075	           0	          21	     6.99492	      13.632	  2.7897e-08	  1.2000e-03	  1.0281e-06	  5.9947e-04	
           1	      transp	           8	       0.075	           0	          22	     6.99491	      13.632	  8.3844e-09	  1.2000e-03	  4.0466e-07	  5.9979e-04	
           1	      transp	           8	       0.075	           0	          23	     6.99491	      13.632	  2.5147e-09	  1.2000e-03	  1.5991e-07	  5.9992e-04	
           1	      transp	           8	       0.075	           0	          24	     6.99491	      13.632	  7.5260e-10	  1.2000e-03	  6.3377e-08	  5.9997e-04	
           1	      transp	           8	       0.075	           0	          25	     6.99491	      13.632	  2.2476e-10	  1.2000e-03	  2.5176e-08	  5.9999e-04	
