     conc_Cl	       EC_20	           I	
  6.9724e-02	  8.2223e+03	  6.9724e-02	
  1.3983e-01	  1.5847e+04	  1.3983e-01	
  2.1173e-01	  2.3378e+04	  2.1173e-01	
  2.8404e-01	  3.0767e+04	  2.8404e-01	
  3.5818e-01	  3.8209e+04	  3.5818e-01	
  4.3131e-01	  4.4378e+04	  4.3131e-01	
  5.0630e-01	  5.0278e+04	  5.0630e-01	
  5.8318e-01	  5.5954e+04	  5.8318e-01	
  7.3684e-01	  6.6326e+04	  7.3684e-01	
  8.9529e-01	  7.5885e+04	  8.9529e-01	
  1.0572e+00	  8.4677e+04	  1.0572e+00	
  1.1404e+00	  8.8868e+04	  1.1404e+00	
  8.8884e-02	  8.7554e+03	  8.8884e-02	
  1.7992e-01	  1.7065e+04	  1.7992e-01	
  2.6954e-01	  2.5007e+04	  2.6954e-01	
  3.6134e-01	  3.2999e+04	  3.6134e-01	
  4.5533e-01	  3.9951e+04	  4.5533e-01	
  5.4972e-01	  4.6515e+04	  5.4972e-01	
  6.4452e-01	  5.2762e+04	  6.4452e-01	
  7.2139e-01	  5.7616e+04	  7.2139e-01	
  9.1659e-01	  6.9277e+04	  9.1659e-01	
  1.0967e+00	  7.9425e+04	  1.0967e+00	
  1.4671e+00	  9.9318e+04	  1.4671e+00	
  1.8110e+00	  1.1758e+05	  1.8110e+00	
  9.3483e-02	  8.6500e+03	  1.4022e-01	
  1.8941e-01	  1.6534e+04	  2.8411e-01	
  2.8570e-01	  2.3823e+04	  4.2855e-01	
  3.8236e-01	  3.0347e+04	  5.7354e-01	
  4.8151e-01	  3.6632e+04	  7.2226e-01	
  5.8105e-01	  4.1678e+04	  8.7158e-01	
  6.8099e-01	  4.6345e+04	  1.0215e+00	
  7.8346e-01	  5.0812e+04	  1.1752e+00	
  9.9181e-01	  5.9214e+04	  1.4877e+00	
  1.2040e+00	  6.7237e+04	  1.8061e+00	
  1.4225e+00	  7.5324e+04	  2.1337e+00	
  1.7603e+00	  8.8253e+04	  2.6404e+00	
  1.0901e-01	  9.6250e+03	  1.6352e-01	
  2.2050e-01	  1.8487e+04	  3.3075e-01	
  4.4439e-01	  3.3578e+04	  6.6659e-01	
  6.7393e-01	  4.5585e+04	  1.0109e+00	
  9.0696e-01	  5.6178e+04	  1.3604e+00	
  1.1480e+00	  6.6647e+04	  1.7220e+00	
  1.3927e+00	  7.7492e+04	  2.0891e+00	
  1.6434e+00	  8.9510e+04	  2.4652e+00	
  1.8979e+00	  1.0340e+05	  2.8469e+00	
  2.1585e+00	  1.2030e+05	  3.2378e+00	
  4.6004e-02	  4.1548e+03	  1.0314e-01	
  9.3035e-02	  6.9988e+03	  1.8775e-01	
  1.8835e-01	  1.1733e+04	  3.3970e-01	
  2.8596e-01	  1.5880e+04	  4.7905e-01	
  3.8592e-01	  1.9695e+04	  6.0992e-01	
  4.8823e-01	  2.3144e+04	  7.3434e-01	
  5.9295e-01	  2.5232e+04	  8.5357e-01	
  7.0104e-01	  2.7074e+04	  9.6945e-01	
  8.1066e-01	  2.8708e+04	  1.0806e+00	
  1.0393e+00	  3.1608e+04	  1.2953e+00	

  9.3300e-02	  7.6350e+03	  1.7708e-01	
  1.8750e-01	  1.3933e+04	  3.4388e-01	
  2.8350e-01	  1.9115e+04	  5.0514e-01	
  3.8040e-01	  2.3573e+04	  6.6096e-01	
  4.8000e-01	  2.7512e+04	  8.1525e-01	
  5.8080e-01	  3.0950e+04	  9.6639e-01	
  6.8310e-01	  3.3847e+04	  1.1155e+00	
  7.8750e-01	  3.5883e+04	  1.2637e+00	
  8.9370e-01	  3.7617e+04	  1.4112e+00	
