        cell	          pH	          pe	          Na	          Ca	          Cl	          cb	








  0.0000e+00	  7.0000e+00	  4.0000e+00	  1.0000e-03	  0.0000e+00	  9.9878e-04	 -3.9705e-22	
  1.0000e+00	  7.0108e+00	  1.1132e+01	  9.8576e-07	  2.7120e-04	  5.3715e-04	 -1.0479e-18	
  2.0000e+00	  6.9705e+00	  1.1230e+01	  9.9177e-11	  4.9315e-05	  1.1111e-04	  3.3908e-20	
  3.0000e+00	  6.9974e+00	 -1.3744e+00	  0.0000e+00	  6.9165e-13	  0.0000e+00	 -5.2940e-22	
  4.0000e+00	  6.9744e+00	  1.1178e+01	  1.1046e-09	  2.1531e-04	  4.4127e-04	  2.3542e-19	
  5.0000e+00	  6.9471e+00	  1.1253e+01	  1.6967e-14	  3.5989e-05	  9.5353e-05	  1.9324e-19	
  6.0000e+00	  6.9557e+00	  1.1141e+01	  6.6740e-13	  1.8945e-04	  3.9823e-04	  3.6897e-19	
  8.0000e+00	  6.9659e+00	  1.1158e+01	  6.8155e-13	  2.0311e-04	  4.2083e-04	  1.6362e-19	








  0.0000e+00	  7.0000e+00	  4.0000e+00	  1.0000e-03	  0.0000e+00	  9.9878e-04	 -3.9705e-22	
  1.0000e+00	  6.9980e+00	  1.1205e+01	  2.6838e-07	  1.2715e-04	  2.5426e-04	  6.9616e-21	
  2.0000e+00	  6.9974e+00	  1.1252e+01	  4.9926e-12	  1.3363e-05	  2.6693e-05	  3.8183e-20	
  3.0000e+00	  6.9974e+00	 -1.3744e+00	  0.0000e+00	  6.9165e-13	  0.0000e+00	 -5.2940e-22	
  4.0000e+00	  6.9979e+00	  1.1303e+01	  2.6900e-10	  9.1815e-05	  1.8341e-04	  7.1336e-21	
  5.0000e+00	  6.9974e+00	  1.1242e+01	  6.2154e-16	  9.5290e-06	  1.9035e-05	  4.3424e-20	
  6.0000e+00	  6.9978e+00	  1.1325e+01	  1.4424e-13	  7.6546e-05	  1.5291e-04	  6.6307e-21	
  8.0000e+00	  6.9978e+00	  1.1306e+01	  3.0264e-13	  8.4321e-05	  1.6844e-04	  7.3983e-21	
