        days	      Tracer	          Fe	
  5.0000e-02	  1.0003e-10	  1.0140e-15	
  1.5000e-01	  3.7008e-08	  1.0140e-15	
  2.5000e-01	  2.2736e-06	  1.0145e-15	
  3.5000e-01	  5.5031e-05	  1.0187e-15	
  4.5000e-01	  6.9515e-04	  1.0520e-15	
  5.5000e-01	  5.2705e-03	  1.2482e-15	
  6.5000e-01	  2.6073e-02	  2.0656e-15	
  7.5000e-01	  8.9133e-02	  4.3731e-15	
  8.5000e-01	  2.2068e-01	  7.5761e-15	
  9.5000e-01	  4.1445e-01	  8.7478e-15	
  1.0500e+00	  6.2203e-01	  8.8381e-15	
  1.1500e+00	  7.9042e-01	  9.9810e-15	
  1.2500e+00	  8.9896e-01	  1.4706e-14	
  1.3500e+00	  9.5697e-01	  4.9106e-04	
  1.4500e+00	  9.8356e-01	  1.8426e-03	
  1.5500e+00	  9.9429e-01	  4.5316e-03	
  1.6500e+00	  9.9818e-01	  9.1487e-03	
  1.7500e+00	  9.9946e-01	  1.6381e-02	
  1.8500e+00	  9.9985e-01	  2.6987e-02	
  1.9500e+00	  9.9996e-01	  4.1760e-02	
  2.0500e+00	  9.9999e-01	  6.1501e-02	
  2.1500e+00	  1.0000e+00	  8.6982e-02	
  2.2500e+00	  1.0000e+00	  1.1891e-01	
  2.3500e+00	  1.0000e+00	  1.5793e-01	
  2.4500e+00	  1.0000e+00	  2.0453e-01	
  2.5500e+00	  1.0000e+00	  2.5912e-01	
  2.6500e+00	  1.0000e+00	  3.2193e-01	
  2.7500e+00	  1.0000e+00	  3.9308e-01	
  2.8500e+00	  1.0000e+00	  4.7251e-01	
  2.9500e+00	  1.0000e+00	  5.6004e-01	
  3.0500e+00	  1.0000e+00	  6.5534e-01	
  5.0000e-02	  0.0000e+00	  0.0000e+00	
  5.0000e-02	  1.0000e+00	  6.5534e-01	
  1.5000e-01	  1.0000e-01	  1.2052e-15	
  2.5000e-01	  1.0001e-02	  1.0388e-15	
  3.5000e-01	  1.0001e-03	  1.0181e-15	
  4.5000e-01	  1.0001e-04	  1.0148e-15	
  5.5000e-01	  1.0001e-05	  1.0142e-15	
  6.5000e-01	  1.0002e-06	  1.0141e-15	
  7.5000e-01	  1.0002e-07	  1.0140e-15	
  8.5000e-01	  1.0002e-08	  1.0140e-15	
  9.5000e-01	  1.0002e-09	  1.0140e-15	
  1.0500e+00	  1.0003e-10	  1.0140e-15	
  5.0000e-02	  1.0003e-10	  1.0140e-15	
  1.5000e-01	  3.7008e-08	  1.0140e-15	
  2.5000e-01	  2.2736e-06	  1.0141e-15	
  3.5000e-01	  5.5031e-05	  1.0147e-15	
  4.5000e-01	  6.9515e-04	  1.0204e-15	
  5.5000e-01	  5.2705e-03	  1.0602e-15	
  6.5000e-01	  2.6073e-02	  1.2611e-15	
  7.5000e-01	  8.9133e-02	  1.9413e-15	
  8.5000e-01	  2.2068e-01	  3.3766e-15	
  9.5000e-01	  4.1445e-01	  4.8529e-15	
  1.0500e+00	  6.2203e-01	  5.4881e-15	
  1.1500e+00	  7.9042e-01	  5.9847e-15	
