        days	       J_hto	        J_sr	        J_na	        J_cl	          EB	

     analyt	  6.9396e-07	  3.5721e-05	  3.8504e-06	  3.8134e-07
	
  5.7870e+04	  9.6752e-08	  4.9805e-06	  5.3684e-07	  5.3173e-08	  5.7151e-07	
  1.1574e+05	  4.7146e-07	  2.4270e-05	  2.6160e-06	  2.5911e-07	  3.2131e-06	
  1.7361e+05	  6.3007e-07	  3.2435e-05	  3.4960e-06	  3.4630e-07	  6.3567e-06	
  2.3148e+05	  6.7574e-07	  3.4787e-05	  3.7494e-06	  3.7141e-07	  9.6162e-06	
  2.8935e+05	  6.8876e-07	  3.5459e-05	  3.8218e-06	  3.7859e-07	  1.2906e-05	
  3.4722e+05	  6.9248e-07	  3.5651e-05	  3.8424e-06	  3.8065e-07	  1.6202e-05	
  4.0509e+05	  6.9354e-07	  3.5707e-05	  3.8483e-06	  3.8125e-07	  1.9501e-05	
  4.6296e+05	  6.9384e-07	  3.5723e-05	  3.8500e-06	  3.8143e-07	  2.2798e-05	
  5.2083e+05	  6.9393e-07	  3.5728e-05	  3.8505e-06	  3.8148e-07	  2.6096e-05	
  5.7870e+05	  6.9395e-07	  3.5729e-05	  3.8506e-06	  3.8150e-07	  2.9393e-05	
  6.3657e+05	  6.9396e-07	  3.5730e-05	  3.8507e-06	  3.8150e-07	  3.2689e-05	

     analyt	  6.9396e-07	  3.5721e-05	  3.8504e-06	  3.8134e-07
	
  5.7870e+04	  1.0720e-07	  5.8298e-06	  5.9394e-07	  5.8916e-08	  8.0460e-07	
  1.1574e+05	  4.9744e-07	  2.5743e-05	  2.7554e-06	  2.7334e-07	  3.5792e-06	
  1.7361e+05	  6.4408e-07	  3.3090e-05	  3.5673e-06	  3.5387e-07	  6.7669e-06	
  2.3148e+05	  6.8137e-07	  3.4956e-05	  3.7736e-06	  3.7433e-07	  1.0043e-05	
  2.8935e+05	  6.9078e-07	  3.5427e-05	  3.8257e-06	  3.7949e-07	  1.3341e-05	
  3.4722e+05	  6.9316e-07	  3.5545e-05	  3.8389e-06	  3.8080e-07	  1.6644e-05	
  4.0509e+05	  6.9376e-07	  3.5575e-05	  3.8422e-06	  3.8112e-07	  1.9948e-05	
  4.6296e+05	  6.9391e-07	  3.5583e-05	  3.8430e-06	  3.8121e-07	  2.3252e-05	
  5.2083e+05	  6.9395e-07	  3.5585e-05	  3.8432e-06	  3.8123e-07	  2.6557e-05	
  5.7870e+05	  6.9396e-07	  3.5585e-05	  3.8433e-06	  3.8123e-07	  2.9895e-05	
  6.3657e+05	  6.9396e-07	  3.5585e-05	  3.8433e-06	  3.8123e-07	  3.3199e-05	
