        cell	          pH	          pe	          O2	           A	          A+	          A-	          cb	






  1.0000e+00	  6.3642e+00	  1.3300e+01	  3.7747e-05	  3.8259e-01	  4.8478e-02	  3.8655e+00	  3.4527e-08	
  4.0000e+00	  6.4566e+00	  1.3200e+01	  3.5002e-05	  2.8356e-01	  2.2158e-04	  2.8528e+00	  2.4613e-09	
  6.0000e+00	  6.5073e+00	  1.3143e+01	  3.3020e-05	  2.4023e-01	  5.1981e-07	  2.4115e+00	 -1.7625e-09	
  8.0000e+00	  6.4801e+00	  1.3174e+01	  3.4388e-05	  2.6271e-01	  5.5427e-07	  2.6400e+00	 -5.1485e-09	
  2.0000e+00	  6.8050e+00	  1.2796e+01	  2.1097e-05	  6.3649e-02	  1.7399e-05	  6.3889e-01	 -9.6775e-09	
  5.0000e+00	  6.8479e+00	  1.2770e+01	  2.4584e-05	  4.7270e-02	  1.3478e-08	  4.7404e-01	 -2.6811e-08	




  0.0000e+00	  6.0281e+00	 -3.5622e-01	  0.0000e+00	  1.0000e+00	  9.9010e-02	  1.0000e+01	  4.5925e-11	






  1.0000e+00	  6.4952e+00	  1.3194e+01	  4.7407e-05	  2.5457e-01	  1.9577e-02	  2.5457e+00	  6.6335e-09	
  4.0000e+00	  6.5838e+00	  1.3090e+01	  4.1103e-05	  1.8363e-01	  1.3094e-04	  1.8363e+00	  2.0921e-08	
  6.0000e+00	  6.6301e+00	  1.3031e+01	  3.6724e-05	  1.5309e-01	  4.6608e-07	  1.5309e+00	  3.0956e-08	
  8.0000e+00	  6.6058e+00	  1.3072e+01	  4.2899e-05	  1.6864e-01	  9.8411e-07	  1.6864e+00	  1.6277e-08	
  2.0000e+00	  6.9072e+00	  1.2718e+01	  2.6294e-05	  2.6726e-02	  3.0033e-06	  2.6726e-01	 -3.9491e-08	
  5.0000e+00	  6.9316e+00	  1.2688e+01	  2.5121e-05	  1.9058e-02	  3.9833e-09	  1.9058e-01	 -3.9397e-08	
