        dist	          Na	          Cl	      aq_DDL	          pH	




















  5.0000e-03	  5.1867e-01	  4.1867e-01	  7.9905e-02	  6.4197e+00	
  1.5000e-02	  4.0628e-01	  3.0628e-01	  9.2509e-02	  6.0232e+00	
  2.5000e-02	  3.0701e-01	  2.0702e-01	  1.1088e-01	  5.8435e+00	
  3.5000e-02	  2.2809e-01	  1.2809e-01	  1.3785e-01	  5.7588e+00	
  4.5000e-02	  1.7198e-01	  7.1988e-02	  1.7766e-01	  5.7510e+00	
  5.5000e-02	  1.3645e-01	  3.6454e-02	  2.3656e-01	  5.8233e+00	
  6.5000e-02	  1.1641e-01	  1.6417e-02	  3.2323e-01	  5.9769e+00	
  7.5000e-02	  1.0639e-01	  6.3995e-03	  4.4803e-01	  6.2020e+00	
  8.5000e-02	  1.0203e-01	  2.0407e-03	  6.1684e-01	  6.4782e+00	
  9.5000e-02	  1.0048e-01	  4.8774e-04	  8.0687e-01	  6.7683e+00	
  1.0500e-01	  1.0009e-01	  9.5369e-05	  9.3807e-01	  6.9900e+00	
  1.1500e-01	  1.0003e-01	  3.5694e-05	  9.7513e-01	  7.0655e+00	
  1.2500e-01	  1.0002e-01	  3.0066e-05	  9.7934e-01	  7.0613e+00	
  1.3500e-01	  1.0002e-01	  2.9632e-05	  9.7968e-01	  7.0479e+00	
  1.4500e-01	  1.0002e-01	  2.9600e-05	  9.7970e-01	  7.0364e+00	
  1.5500e-01	  1.0002e-01	  2.9598e-05	  9.7970e-01	  7.0275e+00	
  1.6500e-01	  1.0002e-01	  2.9598e-05	  9.7970e-01	  7.0209e+00	
  1.7500e-01	  1.0002e-01	  2.9598e-05	  9.7970e-01	  7.0162e+00	
  1.8500e-01	  1.0002e-01	  2.9598e-05	  9.7970e-01	  7.0132e+00	
  1.9500e-01	  1.0002e-01	  2.9598e-05	  9.7970e-01	  7.0117e+00	




















  5.0000e-03	  5.1301e-01	  4.1301e-01	  8.0418e-02	  6.3693e+00	
  1.5000e-02	  3.9073e-01	  2.9073e-01	  9.4779e-02	  5.9682e+00	
  2.5000e-02	  2.8682e-01	  1.8682e-01	  1.1621e-01	  5.7953e+00	
  3.5000e-02	  2.0895e-01	  1.0895e-01	  1.4816e-01	  5.7266e+00	
  4.5000e-02	  1.5741e-01	  5.7412e-02	  1.9575e-01	  5.7451e+00	
  5.5000e-02	  1.2715e-01	  2.7153e-02	  2.6634e-01	  5.8523e+00	
  6.5000e-02	  1.1134e-01	  1.1344e-02	  3.6962e-01	  6.0421e+00	
  7.5000e-02	  1.0403e-01	  4.0375e-03	  5.1522e-01	  6.2969e+00	
  8.5000e-02	  1.0113e-01	  1.1397e-03	  7.0036e-01	  6.5889e+00	
  9.5000e-02	  1.0023e-01	  2.3990e-04	  8.7625e-01	  6.8636e+00	
  1.0500e-01	  1.0005e-01	  5.4450e-05	  9.6217e-01	  7.0262e+00	
  1.1500e-01	  1.0002e-01	  3.1717e-05	  9.7808e-01	  7.0560e+00	
  1.2500e-01	  1.0002e-01	  2.9760e-05	  9.7957e-01	  7.0468e+00	
  1.3500e-01	  1.0002e-01	  2.9610e-05	  9.7969e-01	  7.0362e+00	
  1.4500e-01	  1.0002e-01	  2.9599e-05	  9.7970e-01	  7.0275e+00	
  1.5500e-01	  1.0002e-01	  2.9599e-05	  9.7970e-01	  7.0208e+00	
  1.6500e-01	  1.0002e-01	  2.9598e-05	  9.7970e-01	  7.0159e+00	
  1.7500e-01	  1.0002e-01	  2.9599e-05	  9.7970e-01	  7.0123e+00	
  1.8500e-01	  1.0002e-01	  2.9598e-05	  9.7970e-01	  7.0104e+00	
  1.9500e-01	  1.0002e-01	  2.9598e-05	  9.7970e-01	  7.0090e+00	
